City_ID,City,Country,Lat,Lng,Current Weather,Max Temp,Humidity,Cloudiness,Wind Speed
109,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,clear sky,67.89,71,1,4.09
110,Vredendal,ZA,-31.6683,18.5012,clear sky,62.37,92,2,6.98
111,Nanhai,CN,30.1282,111.7784,overcast clouds,46.99,97,100,5.66
112,Fare,PF,-16.7,-151.0167,clear sky,82.51,68,2,10.8
113,Kalininsk,RU,51.5,44.4758,overcast clouds,0.59,91,100,14.03
114,Sao Filipe,CV,14.8961,-24.4956,few clouds,69.31,74,18,14.97
115,Chumikan,RU,54.7183,135.315,overcast clouds,-7.31,84,100,14.58
116,Rawson,AR,-43.3002,-65.1023,scattered clouds,58.26,69,32,19.86
117,Nantucket,US,41.2835,-70.0995,clear sky,39.2,70,1,16.11
118,Kavaratti,IN,10.5669,72.642,broken clouds,81.27,61,72,9.93
119,Zhangye,CN,38.9342,100.4517,few clouds,34.29,57,14,3.6
120,Verkhnevilyuysk,RU,63.4453,120.3167,scattered clouds,-27.36,85,26,3.89
121,Huicheng,CN,23.0385,116.2899,mist,62.6,77,75,4.47
122,Kathu,TH,7.9178,98.3332,few clouds,78.8,78,20,3.44
123,Yabelo,ET,4.8833,38.0833,scattered clouds,60.48,58,38,7.74
124,Wajir,KE,1.7471,40.0573,clear sky,74.07,74,9,11.45
125,Saldanha,ZA,-33.0117,17.9442,clear sky,64.4,88,0,6.91
126,Santa Rosa,PH,14.3122,121.1114,few clouds,87.01,78,20,2.3
127,Buriti,BR,-22.9302,-45.3881,broken clouds,68.0,73,75,6.91
128,Lavrentiya,RU,65.5833,-171.0,clear sky,-11.04,80,0,1.01
129,Coihaique,CL,-45.5752,-72.0662,clear sky,68.0,40,0,19.57
130,Victoria,HK,22.2855,114.1577,clear sky,73.0,46,0,11.01
131,Sadiqabad,PK,28.3062,70.1307,clear sky,51.13,43,0,2.98
132,Bilibino,RU,68.0546,166.4372,clear sky,-3.21,79,0,3.6
133,Snezhnogorsk,RU,69.1933,33.2531,light snow,23.0,86,75,13.42
134,Sakakah,SA,29.9697,40.2064,clear sky,46.4,71,0,8.05
135,Mapiri,BO,-15.25,-68.1667,few clouds,68.7,88,19,0.34
136,Tuktoyaktuk,CA,69.4541,-133.0374,snow,-16.6,76,90,19.57
137,Bom Jardim,BR,-7.7958,-35.5872,clear sky,73.4,88,0,9.22
138,Plastun,RU,44.7561,136.2939,clear sky,9.82,82,0,11.72
139,Kodinar,IN,20.7903,70.7031,clear sky,65.39,32,0,13.89
140,Kodiak,US,57.79,-152.4072,clear sky,37.4,65,1,10.36
141,Paamiut,GL,61.994,-49.6678,scattered clouds,25.12,81,50,3.51
142,Chachapoyas,PE,-6.2317,-77.869,light rain,55.92,90,97,0.94
143,Cherskiy,RU,68.75,161.3,clear sky,-2.88,81,0,3.31
144,Lekoni,GA,-1.5843,14.2591,overcast clouds,75.15,82,92,3.67
145,Touros,BR,-5.1989,-35.4608,few clouds,77.0,88,20,4.61
146,Labrea,BR,-7.2586,-64.7981,overcast clouds,75.07,94,98,1.19
147,Grindavik,IS,63.8424,-22.4338,clear sky,32.0,64,0,17.27
148,Yongan,CN,39.6957,113.6871,clear sky,24.4,79,0,5.01
149,Ossora,RU,59.2353,163.0719,snow,26.15,97,100,37.2
150,Tabuk,PH,17.4189,121.4443,few clouds,79.38,75,16,2.53
151,Kuito,AO,-12.3833,16.9333,light rain,61.61,95,100,7.52
152,Sitka,US,57.0531,-135.33,scattered clouds,33.8,55,40,6.91
153,Qaqortoq,GL,60.7167,-46.0333,overcast clouds,22.53,83,95,3.4
154,Palmer,US,42.1584,-72.3287,few clouds,25.0,54,20,4.43
155,Clyde River,CA,70.4692,-68.5914,overcast clouds,-7.6,77,90,2.3
156,Nemuro,JP,43.3236,145.575,light snow,24.44,97,100,10.8
157,Sao Joao Da Barra,BR,-21.6403,-41.0511,moderate rain,71.1,96,100,14.67
158,Cape Town,ZA,-33.9258,18.4232,few clouds,70.0,83,20,11.5
159,Salsk,RU,46.4725,41.5428,overcast clouds,28.36,84,100,7.05
160,Provideniya,RU,64.3833,-173.3,clear sky,1.45,87,2,7.23
161,Makokou,GA,0.5738,12.8642,broken clouds,70.25,92,81,2.19
162,Aksay,RU,47.26,39.87,few clouds,19.4,79,20,8.95
163,Ranong,TH,9.9658,98.6348,clear sky,82.4,65,0,3.44
164,Pital,CO,2.2665,-75.8044,overcast clouds,70.88,78,99,3.22
165,Arraial Do Cabo,BR,-22.9661,-42.0278,light rain,75.13,83,100,4.81
166,Penzance,GB,50.1186,-5.5371,broken clouds,39.0,93,75,11.5
167,Dwarka,IN,22.2394,68.9678,clear sky,68.07,52,0,15.46
168,Hamilton,US,39.1834,-84.5333,clear sky,30.2,59,1,6.91
169,Nakamura,JP,32.9833,132.9333,clear sky,59.11,50,0,7.02
170,Katakwi,UG,1.8911,33.9661,scattered clouds,70.43,31,26,5.97
171,Jumla,NP,29.2747,82.1838,clear sky,28.9,70,0,7.14
172,Calabozo,VE,8.9242,-67.4293,overcast clouds,81.3,52,100,10.04
173,Huilong,CN,31.8111,121.655,clear sky,57.0,76,0,2.89
174,Durango,MX,24.8333,-104.8333,clear sky,54.77,34,0,8.57
175,Bomet,KE,-0.7813,35.3416,broken clouds,58.37,75,65,2.04
176,Castro,BR,-24.7911,-50.0119,scattered clouds,61.34,92,44,10.78
177,Kuryk,KZ,43.2,51.65,scattered clouds,37.42,75,31,8.32
178,Feijo,BR,-8.1642,-70.3536,overcast clouds,73.74,95,91,1.12
179,Teahupoo,PF,-17.8333,-149.2667,light rain,86.0,62,20,12.66
180,Sauk Rapids,US,45.5919,-94.1661,clear sky,-9.4,59,1,11.5
181,Kelvington,CA,52.1667,-103.5343,clear sky,-23.8,69,0,3.44
